⚠ sem par em --depois para admin-importar__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-importar__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para admin-dialogos__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para relatorio__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para confirmacoes__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para selos-sucesso__escuro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__claro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__claro__390x844 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__escuro__1440x900 — pulando (não compara, não reprova).
⚠ sem par em --depois para filtros__escuro__390x844 — pulando (não compara, não reprova).
vitrine        quadro                        tema    tamanho     fora-do-antialias/diferentes/total  maior Δ  veredito                  
cromo          viewer-header                 escuro  342x56      156/181/19152                       255      REPROVA (deveria ser zero)
cromo          acesso-form                   escuro  342x844     195/217/288648                      255      REPROVA (deveria ser zero)
cromo          rodape-sidebar                escuro  342x82      0/0/28044                           0        ok (zero)                 
cromo          sidebar-lateral               escuro  342x420     0/0/143640                          0        ok (zero)                 
cromo          versoes-rodape                escuro  342x33      0/0/11286                           0        ok (zero)                 
cromo          marca-sobre-popover           escuro  342x51      156/181/17442                       255      REPROVA (deveria ser zero)
cromo          nao-encontrado                escuro  342x844     0/0/288648                          0        ok (zero)                 
cromo          (foto inteira)                escuro  390x5056    1175/1318/1971840                   255      informa (foto inteira)    
admin-tabelas  tipos-item-tabela             claro   1392x2606   0/0/3627552                         0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-1     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-2     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-3     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela-vazio       claro   1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  itens-tabela                  claro   1392x2198   0/0/3059616                         0        ok (zero)                 
admin-tabelas  itens-tabela--selo-1          claro   66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela--selo-2          claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  itens-tabela--selo-3          claro   66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela-vazio            claro   1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  colaboradores-tabela          claro   1392x1581   0/0/2200752                         0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-1  claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-2  claro   52x20       0/0/1040                            0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-3  claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela-vazio    claro   1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  usuarios-tabela               claro   1392x3462   0/0/4819104                         0        ok (zero)                 
admin-tabelas  auditoria-tabela              claro   1392x153    0/0/212976                          0        ok (zero)                 
admin-tabelas  auditoria-filtro              claro   1392x32     0/0/44544                           0        ok (zero)                 
admin-tabelas  fila-consolidacao             claro   1392x348    0/0/484416                          0        ok (zero)                 
admin-tabelas  (foto inteira)                claro   1440x11829  0/0/17033760                        0        informa (foto inteira)    
admin-tabelas  tipos-item-tabela             claro   342x2842    0/0/971964                          0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-1     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-2     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-3     claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela-vazio       claro   342x218     0/0/74556                           0        ok (zero)                 
admin-tabelas  itens-tabela                  claro   342x2610    0/0/892620                          0        ok (zero)                 
admin-tabelas  itens-tabela--selo-1          claro   66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela--selo-2          claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  itens-tabela--selo-3          claro   66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela-vazio            claro   342x218     0/0/74556                           0        ok (zero)                 
admin-tabelas  colaboradores-tabela          claro   342x1955    0/0/668610                          0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-1  claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-2  claro   52x20       0/0/1040                            0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-3  claro   45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela-vazio    claro   342x246     0/0/84132                           0        ok (zero)                 
admin-tabelas  usuarios-tabela               claro   342x4154    0/0/1420668                         0        ok (zero)                 
admin-tabelas  auditoria-tabela              claro   342x153     0/0/52326                           0        ok (zero)                 
admin-tabelas  auditoria-filtro              claro   342x32      0/0/10944                           0        ok (zero)                 
admin-tabelas  fila-consolidacao             claro   342x688     0/0/235296                          0        ok (zero)                 
admin-tabelas  (foto inteira)                claro   390x14079   0/0/5490810                         0        informa (foto inteira)    
admin-tabelas  tipos-item-tabela             escuro  1392x2606   0/0/3627552                         0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-1     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-2     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-3     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela-vazio       escuro  1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  itens-tabela                  escuro  1392x2198   0/0/3059616                         0        ok (zero)                 
admin-tabelas  itens-tabela--selo-1          escuro  66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela--selo-2          escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  itens-tabela--selo-3          escuro  66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela-vazio            escuro  1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  colaboradores-tabela          escuro  1392x1581   0/0/2200752                         0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-1  escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-2  escuro  52x20       0/0/1040                            0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-3  escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela-vazio    escuro  1392x162    0/0/225504                          0        ok (zero)                 
admin-tabelas  usuarios-tabela               escuro  1392x3462   0/0/4819104                         0        ok (zero)                 
admin-tabelas  auditoria-tabela              escuro  1392x153    0/0/212976                          0        ok (zero)                 
admin-tabelas  auditoria-filtro              escuro  1392x32     0/0/44544                           0        ok (zero)                 
admin-tabelas  fila-consolidacao             escuro  1392x348    0/0/484416                          0        ok (zero)                 
admin-tabelas  (foto inteira)                escuro  1440x11829  0/0/17033760                        0        informa (foto inteira)    
admin-tabelas  tipos-item-tabela             escuro  342x2842    0/0/971964                          0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-1     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-2     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela--selo-3     escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  tipos-item-tabela-vazio       escuro  342x218     0/0/74556                           0        ok (zero)                 
admin-tabelas  itens-tabela                  escuro  342x2610    0/0/892620                          0        ok (zero)                 
admin-tabelas  itens-tabela--selo-1          escuro  66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela--selo-2          escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  itens-tabela--selo-3          escuro  66x20       0/0/1320                            0        ok (zero)                 
admin-tabelas  itens-tabela-vazio            escuro  342x218     0/0/74556                           0        ok (zero)                 
admin-tabelas  colaboradores-tabela          escuro  342x1955    0/0/668610                          0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-1  escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-2  escuro  52x20       0/0/1040                            0        ok (zero)                 
admin-tabelas  colaboradores-tabela--selo-3  escuro  45x20       0/0/900                             0        ok (zero)                 
admin-tabelas  colaboradores-tabela-vazio    escuro  342x246     0/0/84132                           0        ok (zero)                 
admin-tabelas  usuarios-tabela               escuro  342x4154    0/0/1420668                         0        ok (zero)                 
admin-tabelas  auditoria-tabela              escuro  342x153     0/0/52326                           0        ok (zero)                 
admin-tabelas  auditoria-filtro              escuro  342x32      0/0/10944                           0        ok (zero)                 
admin-tabelas  fila-consolidacao             escuro  342x688     0/0/235296                          0        ok (zero)                 
admin-tabelas  (foto inteira)                escuro  390x14079   0/0/5490810                         0        informa (foto inteira)    

✗ 124 linhas comparadas, 22 reprovação(ões).
